full_id,osm_id,osm_type,building,reg_id,ownership,addr:subdistrict,addr:district,addr:county,military,official_name,tower:type,healthcare,generator:source,trade,nurses_num,electricity,doctors_num,operator_name,emergency,dispensing,bed_count,product,industrial,operational_status,drinking_water,shop,layer,power,public_transport,tourism,denomination,pump,man_made,waste,construction,service_times,religion,capacity,toilets:handwashing,toilets:disposal,toilets:access,fee,phone,operator,opening_hours,brand:wikidata,brand,addr:state,description,amenity,office,name,addr:street,type,building:material,building:levels,addr:city,Building_Code,Ward_Code,Block_Code,Building_Area_m2,Building_Source,AI_Confidence,Boundary_Flag
r10057685,10057685,relation,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,brick,1,Ganta,W02-B078-BLD0001,W02,W02-B078,478.38022482967085,OSM existing,,False
r18337677,18337677,relation,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,W09-B055-BLD0001,W09,W09-B055,648.8756315851086,OSM existing,,False
r18350629,18350629,relation,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,W03-B030-BLD0001,W03,W03-B030,1255.3941685967804,OSM existing,,False
w289570834,289570834,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W06-B223-BLD0001,W06,W06-B223,337.8975073877099,OSM existing,,False
w289570835,289570835,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W06-B223-BLD0002,W06,W06-B223,307.56300103676296,OSM existing,,False
w300948513,300948513,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W03-B043-BLD0001,W03,W03-B043,392.15640606355066,OSM existing,,False
w300948514,300948514,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LPMC Bypass,,brick,1,Ganta,W06-B040-BLD0001,W06,W06-B040,26.838900136002156,OSM existing,,False
w300948515,300948515,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B003-BLD0001,W04,W04-B003,99.13400924132908,OSM existing,,False
w300948517,300948517,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B003-BLD0002,W04,W04-B003,60.06487398532378,OSM existing,,False
w300948518,300948518,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea Road,,brick,1,Ganta,W03-B021-BLD0001,W03,W03-B021,69.32776645623449,OSM existing,,False
w300948520,300948520,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W05-B001-BLD0001,W05,W05-B001,64.09042120804202,OSM existing,,True
w300948521,300948521,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W04-B003-BLD0003,W04,W04-B003,70.88718411350962,OSM existing,,False
w300948522,300948522,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B013-BLD0001,W04,W04-B013,125.35835045608874,OSM existing,,False
w300948523,300948523,way,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,government,Ganta Customs Collectorate,Guinea Road,,cement_block,1,Ganta,W03-B021-BLD0002,W03,W03-B021,681.9103958035204,OSM existing,,False
w300948524,300948524,way,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Building,,,cement_block,1,Ganta,W03-B001-BLD0001,W03,W03-B001,719.3076680496349,OSM existing,,False
w300948525,300948525,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W05-B001-BLD0002,W05,W05-B001,137.72747708458851,OSM existing,,True
w300948527,300948527,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,W05-B001-BLD0003,W05,W05-B001,355.23616305200545,OSM existing,,True
w300948528,300948528,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B002-BLD0001,W04,W04-B002,99.63457209775474,OSM existing,,False
w300948530,300948530,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W06-B093-BLD0001,W06,W06-B093,293.60962366097124,OSM existing,,False
w300948532,300948532,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B003-BLD0004,W04,W04-B003,68.40552444283026,OSM existing,,False
w300948533,300948533,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gymnasium,,,School Auditorium,,,cement_block,2,Ganta,W07-B033-BLD0001,W07,W07-B033,1089.2045774235896,OSM existing,,True
w300948535,300948535,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B002-BLD0002,W04,W04-B002,99.77699182137493,OSM existing,,False
w300948536,300948536,way,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W03-B023-BLD0001,W03,W03-B023,822.1608439283477,OSM existing,,False
w300948537,300948537,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B008-BLD0001,W04,W04-B008,121.23144410183788,OSM existing,,False
w300948538,300948538,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B008-BLD0002,W04,W04-B008,60.682599196786995,OSM existing,,False
w300948539,300948539,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W04-B003-BLD0005,W04,W04-B003,148.4574162643115,OSM existing,,False
